chr	start	end	name	score	strand	cluster_ID	cluster_ACC
1	843589	849135	ENSTNIG00000010506	.	+	C468	PF00069
1	851019	851628	ENSTNIG00000010507	.	-	C468	PF00069
1	1262645	1271645	ENSTNIG00000008946	.	-	C731	PF00167
1	1277628	1278435	ENSTNIG00000008947	.	+	C731	PF00167
1	1294988	1303716	ENSTNIG00000008948	.	+	C731	PF00167
1	1308937	1310191	ENSTNIG00000008949	.	+	C731	PF00167
1	1312258	1316805	ENSTNIG00000008950	.	+	C731	PF00167
1	1322815	1341681	ENSTNIG00000008951	.	+	C731	PF00167
1	1468555	1469676	ENSTNIG00000008959	.	+	C1228	PF01300
1	1470089	1476007	ENSTNIG00000008960	.	-	C1228	PF01300
1	1478112	1480689	ENSTNIG00000008961	.	-	C1228	PF01300
1	1665612	1670041	ENSTNIG00000008968	.	-	C517	PF00071
1	1665612	1670041	ENSTNIG00000008968	.	-	C1781	PF08477
1	1687399	1697667	ENSTNIG00000008969	.	+	C517	PF00071
1	1687399	1697667	ENSTNIG00000008969	.	+	C1781	PF08477
1	1699496	1702297	ENSTNIG00000008970	.	+	C517	PF00071
1	1699496	1702297	ENSTNIG00000008970	.	+	C1781	PF08477
1	1702927	1705001	ENSTNIG00000008971	.	-	C517	PF00071
1	1702927	1705001	ENSTNIG00000008971	.	-	C1781	PF08477
1	1705736	1707489	ENSTNIG00000008972	.	+	C517	PF00071
1	1705736	1707489	ENSTNIG00000008972	.	+	C1781	PF08477
1	1718150	1721694	ENSTNIG00000008973	.	+	C517	PF00071
1	1718150	1721694	ENSTNIG00000008973	.	+	C1781	PF08477
1	1722275	1724399	ENSTNIG00000008974	.	-	C517	PF00071
1	1722275	1724399	ENSTNIG00000008974	.	-	C1781	PF08477
1	2055649	2060629	ENSTNIG00000008983	.	-	C1	PF00001
1	2080367	2082418	ENSTNIG00000008984	.	-	C1	PF00001
1	2089033	2096779	ENSTNIG00000008985	.	+	C1	PF00001
1	2098718	2124607	ENSTNIG00000008986	.	-	C1	PF00001
1	2127829	2130572	ENSTNIG00000008987	.	-	C1	PF00001
1	2146292	2151186	ENSTNIG00000008990	.	+	C117	PF00010
1	2153168	2158175	ENSTNIG00000008991	.	+	C117	PF00010
1	7077936	7078928	ENSTNIG00000013115	.	-	C613	PF00096
1	7089603	7093392	ENSTNIG00000013117	.	+	C613	PF00096
1	7100539	7102165	ENSTNIG00000013118	.	+	C613	PF00096
1	7102770	7104400	ENSTNIG00000013119	.	-	C613	PF00096
1	7105250	7107031	ENSTNIG00000013120	.	+	C613	PF00096
1	7120578	7127067	ENSTNIG00000013121	.	-	C613	PF00096
1	7159871	7161779	ENSTNIG00000013124	.	+	C1673	PF07690
1	7167660	7169306	ENSTNIG00000013125	.	+	C1673	PF07690
1	7172596	7176954	ENSTNIG00000013126	.	+	C1673	PF07690
1	7180101	7182774	ENSTNIG00000013127	.	-	C1673	PF07690
1	7182975	7183990	ENSTNIG00000013128	.	+	C1673	PF07690
1	7184388	7186455	ENSTNIG00000013129	.	+	C1673	PF07690
1	8422717	8423629	ENSTNIG00000016817	.	+	C833	PF00250
1	8434792	8437633	ENSTNIG00000001315	.	+	C833	PF00250
1	8437823	8442807	ENSTNIG00000016818	.	-	C833	PF00250
1	8446214	8449794	ENSTNIG00000016819	.	-	C833	PF00250
1	8690502	8696331	ENSTNIG00000016828	.	-	C1037	PF00595
1	9034209	9039568	ENSTNIG00000016843	.	-	C37	PF00001
1	9041790	9045019	ENSTNIG00000016844	.	+	C37	PF00001
1	9046706	9065801	ENSTNIG00000016845	.	+	C37	PF00001
