chr	start	end	name	strand	cluster_id	category
1	182393	184158	ENSG00000279928	+	C1977	PF13853
1	184923	200322	ENSG00000279457	-	C1977	PF13853
1	1308567	1311677	ENSG00000169972	+	C2011	PF13857
1	1311585	1324691	ENSG00000127054	-	C2011	PF13857
1	1324756	1328897	ENSG00000224051	+	C2011	PF13857
1	1331314	1335306	ENSG00000169962	+	C2011	PF13857
1	1335276	1349350	ENSG00000107404	-	C2011	PF13857
1	1352689	1361777	ENSG00000162576	-	C2011	PF13857
1	1373730	1375495	ENSG00000175756	-	C2011	PF13857
1	1385711	1399328	ENSG00000221978	-	C2011	PF13857
1	1401908	1407313	ENSG00000242485	-	C2011	PF13857
1	1418420	1421769	ENSG00000235098	-	C2011	PF13857
1	1426128	1427787	ENSG00000205116	+	C1835	PF12796
1	1426128	1427787	ENSG00000205116	+	C1915	PF13637
1	1426128	1427787	ENSG00000205116	+	C2011	PF13857
1	1434861	1442882	ENSG00000179403	+	C1835	PF12796
1	1434861	1442882	ENSG00000179403	+	C1915	PF13637
1	1434861	1442882	ENSG00000179403	+	C2011	PF13857
1	1449689	1470158	ENSG00000215915	+	C1835	PF12796
1	1449689	1470158	ENSG00000215915	+	C1915	PF13637
1	1449689	1470158	ENSG00000215915	+	C2011	PF13857
1	1471769	1497848	ENSG00000160072	+	C1835	PF12796
1	1471769	1497848	ENSG00000160072	+	C1915	PF13637
1	1471769	1497848	ENSG00000160072	+	C2011	PF13857
1	1512151	1534687	ENSG00000197785	+	C1835	PF12796
1	1512151	1534687	ENSG00000197785	+	C1915	PF13637
1	1512151	1534687	ENSG00000197785	+	C2011	PF13857
1	1535174	1540453	ENSG00000205090	-	C1835	PF12796
1	1535174	1540453	ENSG00000205090	-	C1915	PF13637
1	1535174	1540453	ENSG00000205090	-	C2011	PF13857
1	1541673	1574869	ENSG00000160075	-	C1835	PF12796
1	1541673	1574869	ENSG00000160075	-	C1915	PF13637
1	1541673	1574869	ENSG00000160075	-	C2011	PF13857
1	1579756	1580046	ENSG00000279244	+	C1835	PF12796
1	1579756	1580046	ENSG00000279244	+	C1915	PF13637
1	1579756	1580046	ENSG00000279244	+	C2011	PF13857
1	1598012	1600096	ENSG00000228594	-	C1835	PF12796
1	1598012	1600096	ENSG00000228594	-	C1915	PF13637
1	1598012	1600096	ENSG00000228594	-	C2011	PF13857
1	1635227	1635263	ENSG00000189409	+	C278	PF00069
1	1659529	1692728	ENSG00000189339	-	C278	PF00069
1	1702730	1724324	ENSG00000008128	-	C1355	PF03151
1	1724838	1745992	ENSG00000215790	-	C278	PF00069
1	1751232	1780457	ENSG00000008130	-	C278	PF00069
1	1785285	1891117	ENSG00000078369	-	C278	PF00069
1	1914827	1917296	ENSG00000169885	+	C278	PF00069
1	1917590	1919273	ENSG00000178821	-	C278	PF00069
1	1921951	2003837	ENSG00000142609	-	C278	PF00069
1	2019324	2030751	ENSG00000187730	+	C278	PF00069
1	2184461	2185395	ENSG00000162585	-	C278	PF00069
1	6181269	6209389	ENSG00000116251	-	C860	PF00628
1	6205475	6221299	ENSG00000158286	+	C860	PF00628
1	6221193	6235972	ENSG00000116237	-	C860	PF00628
1	6244192	6245578	ENSG00000173673	+	C860	PF00628
1	6247346	6260975	ENSG00000158292	-	C75	PF00010
1	6247346	6260975	ENSG00000158292	-	C860	PF00628
1	6264269	6394391	ENSG00000097021	-	C75	PF00010
1	6264269	6394391	ENSG00000097021	-	C860	PF00628
1	6412418	6424670	ENSG00000069812	-	C860	PF00628
1	6424788	6461370	ENSG00000187017	+	C860	PF00628
1	6461151	6466195	ENSG00000215788	-	C860	PF00628
1	6466092	6520061	ENSG00000171680	-	C860	PF00628
1	6521347	6554535	ENSG00000162408	-	C860	PF00628
1	6555181	6579757	ENSG00000173662	+	C860	PF00628
1	6580001	6589280	ENSG00000204859	+	C860	PF00628
1	6590724	6614607	ENSG00000162413	-	C860	PF00628
1	6613685	6614607	ENSG00000116273	+	C902	PF00651
1	10430443	10442809	ENSG00000175279	+	C1340	PF03002
1	10449719	10451902	ENSG00000241563	+	C2222	PF15630
1	11026523	11030528	ENSG00000009724	-	C341	PF00076
1	11654375	11655785	ENSG00000116661	-	C1861	PF12937
1	12857086	12861909	ENSG00000120952	+	C340	PF00076
1	12879224	12886201	ENSG00000243073	-	C340	PF00076
1	12892896	12898270	ENSG00000187545	-	C340	PF00076
1	12916610	12920482	ENSG00000204510	+	C340	PF00076
1	12938472	12947580	ENSG00000232423	-	C340	PF00076
1	13049476	13056491	ENSG00000274764	-	C340	PF00076
1	13060853	13077884	ENSG00000229571	+	C340	PF00076
1	13148905	13155961	ENSG00000280267	-	C340	PF00076
1	15490832	15491400	ENSG00000132906	-	C382	PF00089
1	16018875	16019594	ENSG00000173641	-	C806	PF00571
1	16018875	16019594	ENSG00000173641	-	C906	PF00654
1	16562319	16613562	ENSG00000219481	-	C2240	PF15897
1	17329012	17331796	ENSG00000280226	-	C1346	PF03068
1	17329012	17331796	ENSG00000280226	-	C1705	PF08526
1	17329012	17331796	ENSG00000280226	-	C1706	PF08527
1	18849273	18859682	ENSG00000179002	-	C140	PF00038
1	18871430	18902781	ENSG00000159423	-	C140	PF00038
1	19596979	19629821	ENSG00000173436	+	C1344	PF03045
1	19640554	19658056	ENSG00000158747	+	C1432	PF04418
1	22636506	22639608	ENSG00000173372	+	C156	PF00041
1	22636506	22639608	ENSG00000173372	+	C789	PF00536
1	22636506	22639608	ENSG00000173372	+	C1133	PF01404
1	22636506	22639608	ENSG00000173372	+	C1649	PF07714
1	22636506	22639608	ENSG00000173372	+	C2117	PF14575
1	22643630	22648110	ENSG00000159189	+	C156	PF00041
1	22643630	22648110	ENSG00000159189	+	C789	PF00536
1	22643630	22648110	ENSG00000159189	+	C1133	PF01404
1	22643630	22648110	ENSG00000159189	+	C1649	PF07714
1	22643630	22648110	ENSG00000159189	+	C2117	PF14575
1	22652762	22661538	ENSG00000173369	+	C156	PF00041
1	22652762	22661538	ENSG00000173369	+	C789	PF00536
1	22652762	22661538	ENSG00000173369	+	C1133	PF01404
1	22652762	22661538	ENSG00000173369	+	C1649	PF07714
1	22652762	22661538	ENSG00000173369	+	C2117	PF14575
1	23428563	23484568	ENSG00000088280	-	C1715	PF08711
1	23506430	23531220	ENSG00000007968	-	C1715	PF08711
1	23557918	23559794	ENSG00000117318	-	C1715	PF08711
1	23581495	23640568	ENSG00000197880	+	C1715	PF08711
1	23691779	23696425	ENSG00000142676	+	C1715	PF08711
1	25272393	25338213	ENSG00000117616	-	C976	PF00909
1	25337917	25362361	ENSG00000183726	+	C976	PF00909
1	26159020	26163962	ENSG00000197245	+	C279	PF00069
1	26164161	26168581	ENSG00000282872	-	C279	PF00069
1	26169516	26171821	ENSG00000236782	-	C279	PF00069
1	26169871	26170873	ENSG00000142684	+	C279	PF00069
1	26177403	26189886	ENSG00000142675	+	C279	PF00069
1	26190561	26202968	ENSG00000188782	+	C279	PF00069
1	26234153	26279038	ENSG00000130695	+	C279	PF00069
1	26279176	26281522	ENSG00000142669	+	C279	PF00069
1	26281328	26318363	ENSG00000158062	-	C279	PF00069
1	26317957	26320523	ENSG00000169442	+	C279	PF00069
1	26321859	26354130	ENSG00000176092	-	C279	PF00069
1	26361634	26374522	ENSG00000176083	-	C279	PF00069
1	26410778	26429722	ENSG00000131914	+	C279	PF00069
1	26432282	26471294	ENSG00000117682	+	C279	PF00069
1	26472450	26475972	ENSG00000198830	+	C279	PF00069
1	32221928	32222359	ENSG00000160055	-	C727	PF00400
1	32247233	32248856	ENSG00000183615	+	C727	PF00400
1	32251239	32286165	ENSG00000182866	+	C727	PF00400
1	32292086	32333635	ENSG00000116478	+	C727	PF00400
1	32333832	32336379	ENSG00000175130	-	C727	PF00400
1	32351521	32364312	ENSG00000162526	+	C727	PF00400
1	32361270	32364278	ENSG00000225828	-	C727	PF00400
1	32365103	32394731	ENSG00000160058	-	C727	PF00400
1	32465057	32600792	ENSG00000254553	+	C727	PF00400
1	32465069	32496686	ENSG00000273274	+	C727	PF00400
1	32539427	32605939	ENSG00000160062	+	C727	PF00400
1	32539427	32600792	ENSG00000160062	+	C2049	PF13909
1	32600172	32650903	ENSG00000176261	-	C727	PF00400
1	32600172	32605939	ENSG00000176261	-	C901	PF00651
1	32600172	32600792	ENSG00000176261	-	C2049	PF13909
1	32680360	32686211	ENSG00000162520	-	C727	PF00400
1	33306766	33321098	ENSG00000184389	-	C443	PF00096
1	33323623	33431052	ENSG00000134686	-	C443	PF00096
1	34755047	34795747	ENSG00000163866	-	C127	PF00029
1	34986165	35031741	ENSG00000271741	-	C2113	PF14291
1	34981535	34985353	ENSG00000243749	-	C1528	PF06467
1	35176378	35193148	ENSG00000116560	-	C1528	PF06467
1	38864501	38874105	ENSG00000214114	-	C128	PF00029
1	39491646	39525935	ENSG00000183682	+	C1899	PF13499
1	39560816	39576790	ENSG00000090621	-	C101	PF00019
1	39560816	39576790	ENSG00000090621	-	C921	PF00688
1	39560816	39576790	ENSG00000090621	-	C1899	PF13499
1	39624153	39639945	ENSG00000163909	-	C101	PF00019
1	39624153	39639945	ENSG00000163909	-	C339	PF00076
1	39624153	39639945	ENSG00000163909	-	C921	PF00688
1	39624153	39639945	ENSG00000163909	-	C1899	PF13499
1	39659121	39672038	ENSG00000116981	-	C101	PF00019
1	39659121	39672038	ENSG00000116981	-	C339	PF00076
1	39659121	39672038	ENSG00000116981	-	C921	PF00688
1	39659121	39672038	ENSG00000116981	-	C1899	PF13499
1	39659121	39672038	ENSG00000116981	-	C73	PF00010
1	39678648	39691689	ENSG00000116983	-	C101	PF00019
1	39678648	39691689	ENSG00000116983	-	C339	PF00076
1	39678648	39691689	ENSG00000116983	-	C921	PF00688
1	39678648	39691689	ENSG00000116983	-	C73	PF00010
1	39692182	39763914	ENSG00000084072	+	C101	PF00019
1	39692182	39763914	ENSG00000084072	+	C921	PF00688
1	39692182	39763914	ENSG00000084072	+	C73	PF00010
1	39757182	39763914	ENSG00000116985	-	C339	PF00076
1	39757182	39788861	ENSG00000116985	-	C73	PF00010
1	39769523	39771348	ENSG00000198754	-	C101	PF00019
1	39769523	39771348	ENSG00000198754	-	C921	PF00688
1	39769523	39771348	ENSG00000198754	-	C73	PF00010
1	39841022	39883511	ENSG00000043514	-	C73	PF00010
1	40477215	40496343	ENSG00000187815	+	C2071	PF13912
1	40508741	40516556	ENSG00000164002	+	C444	PF00096
1	40508741	40516556	ENSG00000164002	+	C1090	PF01352
1	40508741	40516556	ENSG00000164002	+	C2071	PF13912
1	43172149	43270936	ENSG00000117395	-	C726	PF00400
1	43269994	43274002	ENSG00000179178	+	C726	PF00400
1	43281883	43285617	ENSG00000253313	-	C726	PF00400
1	43300993	43323108	ENSG00000066056	+	C726	PF00400
1	43337807	43352772	ENSG00000117400	+	C726	PF00400
1	43358955	43363203	ENSG00000117399	+	C155	PF00041
1	43363397	43368074	ENSG00000066322	-	C155	PF00041
1	43383917	43389808	ENSG00000159479	-	C155	PF00041
1	43389882	43452650	ENSG00000198198	+	C155	PF00041
1	43451003	43453989	ENSG00000178922	-	C155	PF00041
1	45343883	45343975	ENSG00000132773	+	C280	PF00069
1	45493866	45500079	ENSG00000280670	-	C280	PF00069
1	45500053	45513382	ENSG00000132763	+	C280	PF00069
1	45511036	45523047	ENSG00000117450	-	C280	PF00069
1	45550543	45570049	ENSG00000117448	+	C280	PF00069
1	45583846	45618904	ENSG00000132780	+	C280	PF00069
1	45620044	45624057	ENSG00000159588	-	C280	PF00069
1	45627304	45688113	ENSG00000159592	-	C280	PF00069
1	45687214	45694443	ENSG00000159596	+	C280	PF00069
1	45694324	45750650	ENSG00000197429	-	C280	PF00069
1	46175073	46176488	ENSG00000117472	+	C90	PF00017
1	46175073	46176488	ENSG00000117472	+	C2263	PF16454
1	46175486	46176478	ENSG00000250719	-	C90	PF00017
1	46175486	46176478	ENSG00000250719	-	C2263	PF16454
1	54132968	54153770	ENSG00000157211	-	C1742	PF09791
1	54184041	54200073	ENSG00000116221	+	C1742	PF09791
1	74198235	74234086	ENSG00000254685	+	C1651	PF07714
1	74198235	74234086	ENSG00000254685	+	C1837	PF12796
1	74469878	74512614	ENSG00000162621	-	C1651	PF07714
1	74469878	74512614	ENSG00000162621	-	C1837	PF12796
1	84999147	85048499	ENSG00000162643	+	C1674	PF08016
1	89633140	89769903	ENSG00000271949	+	C1869	PF13306
1	89633140	89933250	ENSG00000271949	+	C2009	PF13855
1	94148988	94275068	ENSG00000137962	-	C60	PF00005
1	95234155	95247225	ENSG00000122481	+	C1393	PF03798
1	103553815	103555239	ENSG00000185946	+	C506	PF00128
1	103553815	103555239	ENSG00000185946	+	C1302	PF02806
1	108875350	108934545	ENSG00000121957	+	C1808	PF12443
1	108929508	108963457	ENSG00000121940	-	C1808	PF12443
1	109309568	109397951	ENSG00000134243	-	C1597	PF07679
1	109399031	109426427	ENSG00000143106	-	C1597	PF07679
1	109466628	109482137	ENSG00000143028	+	C1597	PF07679
1	109483479	109492804	ENSG00000162650	+	C1597	PF07679
1	109494052	109502932	ENSG00000174151	+	C1597	PF07679
1	109616104	109619929	ENSG00000116337	+	C764	PF00503
1	109668022	109709039	ENSG00000213366	+	C2115	PF14497
1	109687814	109709039	ENSG00000134184	+	C160	PF00043
1	109750080	109764027	ENSG00000198758	-	C160	PF00043
1	109750080	109764027	ENSG00000198758	-	C1300	PF02798
1	110338506	110346681	ENSG00000162775	+	C781	PF00520
1	110338506	110346681	ENSG00000162775	+	C1267	PF02214
1	110362848	110391082	ENSG00000168679	-	C781	PF00520
1	110362848	110391082	ENSG00000168679	-	C1267	PF02214
1	110401249	110407942	ENSG00000134248	-	C781	PF00520
1	110401249	110407942	ENSG00000134248	-	C1267	PF02214
1	110451200	110457354	ENSG00000143125	+	C781	PF00520
1	110451200	110457354	ENSG00000143125	+	C1267	PF02214
1	111200771	111204535	ENSG00000162777	-	C928	PF00704
1	111346288	111353013	ENSG00000173947	+	C928	PF00704
1	111542218	111563962	ENSG00000116473	+	C1	PF00001
1	112702614	112707434	ENSG00000155366	-	C756	PF00481
1	112709994	112711433	ENSG00000155367	-	C307	PF00071
1	117060303	117107453	ENSG00000116830	+	C1614	PF07686
1	117111060	117122587	ENSG00000134253	-	C1614	PF07686
1	144421386	144461674	ENSG00000266338	-	C528	PF00160
1	145891208	145910189	ENSG00000143127	-	C1838	PF12796
1	145911350	145918837	ENSG00000131779	-	C1838	PF12796
1	145917714	145927678	ENSG00000265241	-	C1838	PF12796
1	145927258	145964582	ENSG00000280778	+	C1838	PF12796
1	145933423	145958001	ENSG00000271601	-	C1838	PF12796
1	146113652	146144942	ENSG00000271425	-	C63	PF00008
1	146113652	146144942	ENSG00000271425	-	C1561	PF07645
1	148458814	148459871	ENSG00000280649	+	C1542	PF06758
1	148479824	148483679	ENSG00000236334	-	C1542	PF06758
1	149782689	149792518	ENSG00000150337	+	C500	PF00125
1	149832659	149839767	ENSG00000270882	+	C500	PF00125
1	149839538	149841193	ENSG00000203811	-	C2215	PF15511
1	149842188	149842736	ENSG00000203812	-	C2215	PF15511
1	149851061	149851624	ENSG00000272196	+	C2215	PF15511
