chr	start	end	name	score	strand	cluster_ID	cluster_ACC
1	450983	451844	ENSTNIG00000000021	.	-	C279	PF00046
1	471747	474099	ENSTNIG00000014224	.	-	C279	PF00046
1	485780	495281	ENSTNIG00000014225	.	+	C335	PF00047
1	485780	495281	ENSTNIG00000014225	.	+	C469	PF00069
1	485780	495281	ENSTNIG00000014225	.	+	C1697	PF07714
1	497486	504449	ENSTNIG00000014226	.	+	C335	PF00047
1	497486	504449	ENSTNIG00000014226	.	+	C469	PF00069
1	497486	504449	ENSTNIG00000014226	.	+	C1697	PF07714
1	812192	816458	ENSTNIG00000010505	.	+	C468	PF00069
1	852776	857126	ENSTNIG00000010508	.	+	C468	PF00069
1	1142411	1144265	ENSTNIG00000008928	.	-	C1071	PF00628
1	1142411	1144265	ENSTNIG00000008928	.	-	C1158	PF00856
1	1147384	1148821	ENSTNIG00000009678	.	-	C1071	PF00628
1	1147384	1148821	ENSTNIG00000009678	.	-	C1158	PF00856
1	1200972	1221848	ENSTNIG00000008935	.	-	C1398	PF02931
1	1200972	1221848	ENSTNIG00000008935	.	-	C1410	PF02932
1	1223039	1226874	ENSTNIG00000008936	.	-	C1398	PF02931
1	1223039	1226874	ENSTNIG00000008936	.	-	C1410	PF02932
1	1258613	1259397	ENSTNIG00000008945	.	-	C731	PF00167
1	1308937	1310191	ENSTNIG00000008949	.	+	C818	PF00225
1	1312258	1316805	ENSTNIG00000008950	.	+	C818	PF00225
1	1345345	1348846	ENSTNIG00000008952	.	-	C731	PF00167
1	1464155	1467691	ENSTNIG00000008958	.	-	C1228	PF01300
1	1482003	1485359	ENSTNIG00000008962	.	+	C1228	PF01300
1	1660801	1661377	ENSTNIG00000000346	.	-	C517	PF00071
1	1660801	1661377	ENSTNIG00000000346	.	-	C1781	PF08477
1	1726045	1726654	ENSTNIG00000008975	.	+	C517	PF00071
1	1726045	1726654	ENSTNIG00000008975	.	+	C1781	PF08477
1	2016761	2030172	ENSTNIG00000008980	.	+	C197	PF00029
1	2032185	2033268	ENSTNIG00000008981	.	+	C197	PF00029
1	2044446	2052242	ENSTNIG00000008982	.	-	C1	PF00001
1	2135817	2136927	ENSTNIG00000001581	.	+	C1	PF00001
1	2141968	2143883	ENSTNIG00000008989	.	-	C117	PF00010
1	2161649	2161787	ENSTNIG00000000026	.	-	C117	PF00010
1	4160454	4176680	ENSTNIG00000015774	.	+	C273	PF00046
1	4182134	4183220	ENSTNIG00000015773	.	-	C273	PF00046
1	6675320	6798900	ENSTNIG00000005148	.	+	C189	PF00028
1	6675320	6798900	ENSTNIG00000005148	.	+	C1753	PF08266
1	6699609	6705254	ENSTNIG00000004211	.	+	C189	PF00028
1	6699609	6705254	ENSTNIG00000004211	.	+	C1753	PF08266
1	6711321	6717483	ENSTNIG00000001476	.	+	C189	PF00028
1	6711321	6717483	ENSTNIG00000001476	.	+	C1753	PF08266
1	6722645	6725201	ENSTNIG00000005903	.	+	C189	PF00028
1	6722645	6725201	ENSTNIG00000005903	.	+	C1753	PF08266
1	7071368	7076904	ENSTNIG00000000077	.	-	C613	PF00096
1	7084147	7084471	ENSTNIG00000013116	.	+	C613	PF00096
1	7102770	7104400	ENSTNIG00000013119	.	-	C199	PF00030
1	7105250	7107031	ENSTNIG00000013120	.	+	C199	PF00030
1	7134201	7137436	ENSTNIG00000013122	.	-	C613	PF00096
1	7150154	7154455	ENSTNIG00000013123	.	+	C1673	PF07690
1	7188937	7197761	ENSTNIG00000013130	.	-	C1673	PF07690
1	7319230	7321759	ENSTNIG00000013143	.	+	C1397	PF02931
1	7319230	7321759	ENSTNIG00000013143	.	+	C1409	PF02932
1	7335632	7338567	ENSTNIG00000013144	.	+	C1397	PF02931
