Ensembl Gene ID	Pfam ID
ENSG00000281766	PF00641
ENSG00000281518	PF16676
ENSG00000281518	PF00250
ENSG00000281518	PF16675
ENSG00000281518	PF00250
ENSG00000281614	PF00017
ENSG00000281614	PF03372
ENSG00000281614	PF03372
ENSG00000281614	PF00017
ENSG00000281614	PF03372
ENSG00000281614	
ENSG00000281614	
ENSG00000280584	PF00061
ENSG00000280584	PF00061
ENSG00000280584	PF00061
ENSG00000280584	PF00061
ENSG00000281230	PF06031
ENSG00000281917	PF07690
ENSG00000281917	PF07690
ENSG00000281917	PF07690
ENSG00000281917	PF07690
ENSG00000281917	PF07690
ENSG00000281813	PF00538
ENSG00000281813	PF00628
ENSG00000281813	PF01853
ENSG00000281813	PF00538
ENSG00000281813	PF00628
ENSG00000281813	PF01853
ENSG00000281813	PF01853
ENSG00000281813	PF00628
ENSG00000281813	PF00538
ENSG00000281813	PF00628
ENSG00000281813	PF01853
ENSG00000281813	PF01853
ENSG00000281813	PF00628
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000280680	PF03062
ENSG00000281309	PF04935
ENSG00000281877	
ENSG00000281877	
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00433
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00433
ENSG00000281877	PF00433
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00433
ENSG00000281877	
ENSG00000281877	PF00069
ENSG00000281877	PF00433
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00069
ENSG00000281877	PF00433
ENSG00000281877	PF00069
ENSG00000281434	
ENSG00000281434	PF01712
ENSG00000281434	PF01712
ENSG00000281434	PF01712
ENSG00000281434	
ENSG00000281434	
ENSG00000281434	PF01712
ENSG00000281434	
ENSG00000281434	PF01712
ENSG00000281434	PF01712
ENSG00000283034	PF01352
ENSG00000283034	PF13912
ENSG00000283034	PF13912
ENSG00000283034	PF02023
ENSG00000283034	PF01352
ENSG00000283034	PF13912
ENSG00000283034	PF13912
ENSG00000283034	PF02023
ENSG00000283034	PF02023
ENSG00000283034	PF01352
ENSG00000281459	PF03068
ENSG00000281459	PF08526
ENSG00000281459	PF08527
ENSG00000281022	PF06179
ENSG00000281022	PF06179
ENSG00000281022	PF06179
ENSG00000281022	PF06179
ENSG00000281022	PF06179
ENSG00000281022	PF06179
ENSG00000281022	PF06179
ENSG00000281022	PF06179
ENSG00000281626	PF13912
ENSG00000281626	PF00096
ENSG00000281626	PF00096
ENSG00000281626	PF00096
ENSG00000281626	PF00096
ENSG00000281626	PF00096
ENSG00000281626	PF01352
ENSG00000280549	PF08526
ENSG00000280549	PF03068
ENSG00000280549	PF08527
ENSG00000280908	PF08526
ENSG00000280908	PF08527
ENSG00000280908	PF08526
ENSG00000280908	PF03068
ENSG00000281894	PF02023
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF01352
ENSG00000281894	PF02023
ENSG00000281894	PF01352
ENSG00000281894	PF02023
ENSG00000281894	PF01352
ENSG00000281894	PF02023
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF01352
ENSG00000281894	PF02023
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF00096
ENSG00000281894	PF01352
ENSG00000281894	PF01352
ENSG00000281835	
ENSG00000280858	PF01248
ENSG00000280858	PF01248
ENSG00000280858	PF01248
ENSG00000280949	PF03068
ENSG00000280949	PF08527
ENSG00000280949	PF08526
ENSG00000281540	PF00415
ENSG00000281540	PF00415
ENSG00000281540	PF00415
ENSG00000281540	PF00415
ENSG00000281540	PF00415
ENSG00000281540	PF00415
ENSG00000281540	PF00415
ENSG00000281540	PF00415
ENSG00000280661	
ENSG00000280661	
ENSG00000280661	PF13912
ENSG00000280661	PF00096
ENSG00000280661	PF00096
ENSG00000280661	PF00096
ENSG00000280661	PF00096
ENSG00000280661	PF00096
ENSG00000280661	PF00096
ENSG00000280661	PF00096
ENSG00000280661	PF00096
ENSG00000280627	PF02104
ENSG00000280627	PF02104
ENSG00000281089	PF08614
ENSG00000281089	PF08614
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF08614
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF08614
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	
ENSG00000281089	PF08614
ENSG00000281089	PF08614
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF08614
ENSG00000281089	PF08614
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281089	PF00400
ENSG00000281709	PF02023
ENSG00000281709	PF01352
ENSG00000281709	PF02023
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF01352
ENSG00000281709	PF02023
ENSG00000281709	PF01352
ENSG00000281709	PF02023
ENSG00000281709	PF02023
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF00096
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF13912
ENSG00000281709	PF01352
ENSG00000281709	PF02023
ENSG00000281024	PF05477
ENSG00000281306	PF00096
ENSG00000281306	PF00096
ENSG00000281306	PF00096
ENSG00000281306	PF00096
ENSG00000281306	PF00096
ENSG00000281306	PF00096
ENSG00000281306	PF00096
ENSG00000281306	
ENSG00000281306	
ENSG00000281306	
ENSG00000281306	
ENSG00000281306	
ENSG00000280951	PF02077
ENSG00000280951	PF02077
ENSG00000280951	PF02077
ENSG00000280951	PF02077
ENSG00000280951	PF02077
ENSG00000280951	PF02077
ENSG00000281448	PF13912
ENSG00000281448	PF13912
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF13912
ENSG00000281448	PF13912
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF13912
ENSG00000281448	PF13912
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	PF00096
ENSG00000281448	
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF13912
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF00096
ENSG00000281661	PF13912
ENSG00000281665	PF15377
ENSG00000281245	PF00069
ENSG00000280706	PF00929
ENSG00000280706	PF00929
ENSG00000280706	PF00929
ENSG00000280706	
ENSG00000280610	PF00225
ENSG00000280610	PF12711
ENSG00000280610	PF15908
ENSG00000280610	
ENSG00000280610	PF00225
ENSG00000280610	PF12711
ENSG00000280610	PF15908
ENSG00000280610	PF12711
ENSG00000280610	
ENSG00000280610	PF15908
ENSG00000281857	PF00339
ENSG00000281857	PF00339
ENSG00000281857	PF02752
ENSG00000281857	
ENSG00000281857	
ENSG00000280516	
ENSG00000281886	PF01841
ENSG00000281886	PF00868
ENSG00000281886	PF00927
ENSG00000281886	PF00868
ENSG00000280873	PF00130
ENSG00000280873	PF00130
ENSG00000280873	PF07647
ENSG00000280873	PF00781
ENSG00000280873	PF00609
ENSG00000280873	PF00169
ENSG00000280873	PF00130
ENSG00000280873	
ENSG00000280873	PF00169
ENSG00000280873	PF07647
ENSG00000280873	PF00609
ENSG00000280873	PF00130
ENSG00000280873	PF00130
ENSG00000280873	PF00169
ENSG00000280873	PF00781
ENSG00000280873	PF00781
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF01421
ENSG00000281244	PF00090
ENSG00000281244	PF13582
ENSG00000281244	PF01421
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF13582
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF00090
ENSG00000281244	PF13582
ENSG00000281244	PF13582
ENSG00000281244	
ENSG00000280674	PF01529
ENSG00000280674	
ENSG00000280674	PF01529
ENSG00000280674	PF01529
ENSG00000280674	PF01529
ENSG00000280674	PF01529
ENSG00000280674	PF01529
ENSG00000280674	
ENSG00000280479	
ENSG00000280479	PF10233
ENSG00000280479	
ENSG00000280479	PF10233
ENSG00000280479	PF10233
ENSG00000281165	PF00083
ENSG00000281165	PF00083
ENSG00000281165	PF00083
ENSG00000281165	PF00083
