chr	start	end	name	strand	cluster_id	category
1	69091	70008	ENSG00000186092	+	C1977	PF13853
1	450740	451678	ENSG00000278566	-	C1977	PF13853
1	685716	686654	ENSG00000273547	-	C1977	PF13853
1	1292376	1309609	ENSG00000131584	-	C2011	PF13857
1	1418420	1421769	ENSG00000235098	-	C1915	PF13637
1	1418420	1421769	ENSG00000235098	-	C1835	PF12796
1	1449689	1470158	ENSG00000215915	+	C1794	PF12037
1	1449689	1470158	ENSG00000215915	+	C51	PF00004
1	1471769	1497848	ENSG00000160072	+	C51	PF00004
1	1471769	1497848	ENSG00000160072	+	C1794	PF12037
1	1512151	1534687	ENSG00000197785	+	C51	PF00004
1	1512151	1534687	ENSG00000197785	+	C1794	PF12037
1	1615415	1630610	ENSG00000197530	+	C1835	PF12796
1	1615415	1630610	ENSG00000197530	+	C1915	PF13637
1	1615415	1630610	ENSG00000197530	+	C2011	PF13857
1	1635227	1659012	ENSG00000248333	-	C278	PF00069
1	1659529	1692728	ENSG00000189339	-	C1355	PF03151
1	1702730	1724324	ENSG00000008128	-	C278	PF00069
1	1724838	1745992	ENSG00000215790	-	C1355	PF03151
1	2050470	2185395	ENSG00000067606	+	C278	PF00069
1	6101793	6180123	ENSG00000116254	-	C860	PF00628
1	6244192	6245578	ENSG00000173673	+	C75	PF00010
1	6412418	6424670	ENSG00000069812	-	C75	PF00010
1	6580001	6589280	ENSG00000204859	+	C902	PF00651
1	6590724	6614607	ENSG00000162413	-	C902	PF00651
1	6613685	6624033	ENSG00000116273	+	C860	PF00628
1	9003300	9026345	ENSG00000197241	-	C348	PF00083
1	9035107	9088478	ENSG00000142583	-	C348	PF00083
1	9848276	9910336	ENSG00000178585	-	C1519	PF06384
1	9922113	9943407	ENSG00000162441	-	C1519	PF06384
1	10430102	10452153	ENSG00000251503	+	C1340	PF03002
1	10430102	10452153	ENSG00000251503	+	C2222	PF15630
1	10430443	10442809	ENSG00000175279	+	C2222	PF15630
1	10449719	10451902	ENSG00000241563	+	C1340	PF03002
1	11012344	11026420	ENSG00000120948	+	C341	PF00076
1	11012662	11030528	ENSG00000277726	+	C341	PF00076
1	11648367	11655785	ENSG00000116661	-	C1429	PF04300
1	11654375	11663327	ENSG00000132879	+	C1429	PF04300
1	11654375	11663327	ENSG00000132879	+	C1861	PF12937
1	11664124	11674354	ENSG00000116663	+	C1861	PF12937
1	11664124	11674354	ENSG00000116663	+	C1429	PF04300
1	11845709	11848345	ENSG00000175206	-	C598	PF00212
1	11857464	11858931	ENSG00000120937	-	C598	PF00212
1	12063377	12144207	ENSG00000120949	+	C107	PF00020
1	12166943	12209228	ENSG00000028137	+	C107	PF00020
1	12644547	12667086	ENSG00000204518	+	C1662	PF07859
1	12716115	12728759	ENSG00000188984	+	C1662	PF07859
1	12847408	12848725	ENSG00000179172	-	C340	PF00076
1	13060869	13062229	ENSG00000277058	+	C340	PF00076
1	13115496	13116854	ENSG00000275774	-	C340	PF00076
1	13164586	13165467	ENSG00000179412	-	C340	PF00076
1	15438439	15449242	ENSG00000162438	+	C382	PF00089
1	15456728	15472091	ENSG00000142615	+	C382	PF00089
1	15465909	15491400	ENSG00000215704	+	C382	PF00089
1	16018875	16034050	ENSG00000186510	+	C906	PF00654
1	16018875	16034050	ENSG00000186510	+	C806	PF00571
1	16043736	16057308	ENSG00000184908	+	C906	PF00654
1	16043736	16057308	ENSG00000184908	+	C806	PF00571
1	16539066	16539575	ENSG00000268991	+	C2240	PF15897
1	16673003	16673512	ENSG00000237847	+	C2240	PF15897
1	16733951	16734461	ENSG00000279132	-	C2240	PF15897
1	17066761	17119435	ENSG00000117115	-	C1346	PF03068
1	17066761	17119435	ENSG00000117115	-	C1706	PF08527
1	17066761	17119435	ENSG00000117115	-	C1705	PF08526
1	17205126	17246005	ENSG00000142623	+	C1346	PF03068
1	17205126	17246005	ENSG00000142623	+	C1705	PF08526
1	17205126	17246005	ENSG00000142623	+	C1706	PF08527
1	17249098	17284233	ENSG00000142619	+	C1705	PF08526
1	17249098	17284233	ENSG00000142619	+	C1346	PF03068
1	17249098	17284233	ENSG00000142619	+	C1706	PF08527
1	17308195	17364004	ENSG00000159339	+	C1705	PF08526
1	17308195	17364004	ENSG00000159339	+	C1706	PF08527
1	17308195	17364004	ENSG00000159339	+	C1346	PF03068
1	17372196	17401699	ENSG00000276747	+	C1706	PF08527
1	17372196	17401699	ENSG00000276747	+	C1346	PF03068
1	17372196	17401699	ENSG00000276747	+	C1705	PF08526
1	18849273	18921121	ENSG00000255275	-	C140	PF00038
1	18904281	18956686	ENSG00000169991	-	C140	PF00038
1	19282558	19289250	ENSG00000162482	-	C629	PF00248
1	19303965	19312146	ENSG00000053371	-	C629	PF00248
1	19596977	19629821	ENSG00000173436	+	C1432	PF04418
1	19596979	19658056	ENSG00000270136	+	C1344	PF03045
1	19596979	19658056	ENSG00000270136	+	C1432	PF04418
1	19640554	19658456	ENSG00000158747	+	C1344	PF03045
1	19920009	19923617	ENSG00000188784	-	C249	PF00068
1	19975431	19980416	ENSG00000188257	-	C249	PF00068
1	20028179	20091190	ENSG00000127472	+	C249	PF00068
1	20111939	20119566	ENSG00000117215	-	C249	PF00068
1	20139326	20150386	ENSG00000158786	+	C249	PF00068
1	20161253	20177424	ENSG00000187980	-	C249	PF00068
1	21812265	21825221	ENSG00000187942	+	C215	PF00057
1	21822245	21937297	ENSG00000142798	-	C215	PF00057
1	21977021	21998642	ENSG00000219073	+	C386	PF00089
1	22001656	22012539	ENSG00000142789	+	C386	PF00089
1	22563564	22603594	ENSG00000070886	+	C1133	PF01404
1	22563564	22603594	ENSG00000070886	+	C156	PF00041
1	22563564	22603594	ENSG00000070886	+	C2117	PF14575
1	22563564	22603594	ENSG00000070886	+	C1649	PF07714
1	22563564	22603594	ENSG00000070886	+	C789	PF00536
1	22636506	22639608	ENSG00000173372	+	C1127	PF01391
1	22636506	22639608	ENSG00000173372	+	C696	PF00386
1	22643630	22648110	ENSG00000159189	+	C696	PF00386
1	22643630	22648110	ENSG00000159189	+	C1127	PF01391
1	22652762	22661538	ENSG00000173369	+	C1127	PF01391
1	22652762	22661538	ENSG00000173369	+	C696	PF00386
1	22710839	22921500	ENSG00000133216	+	C1649	PF07714
1	22710839	22921500	ENSG00000133216	+	C1133	PF01404
1	22710839	22921500	ENSG00000133216	+	C789	PF00536
1	22710839	22921500	ENSG00000133216	+	C156	PF00041
1	22710839	22921500	ENSG00000133216	+	C2117	PF14575
